datetime,ticker,open,high,low,close,volume
2015-12-07 12:55:00,AFLT,57.26,57.26,57.2,57.21,5200
2015-12-07 12:56:00,AFLT,57.26,57.26,57.26,57.26,100
2015-12-07 12:57:00,AFLT,57.21,57.25,57.2,57.21,13400
2015-12-07 12:58:00,AFLT,57.2,57.2,57.17,57.17,11000
2015-12-07 12:59:00,AFLT,57.21,57.21,57.21,57.21,100
2015-12-07 13:00:00,AFLT,57.26,57.26,57.26,57.26,2600
2015-12-07 13:01:00,AFLT,57.27,57.28,57.27,57.28,4200
2015-12-07 13:02:00,AFLT,57.23,57.23,57.2,57.21,12600
2015-12-07 13:03:00,AFLT,57.2,57.2,56.91,56.91,20400
2015-12-07 13:04:00,AFLT,57.2,57.2,57.2,57.2,5400
2015-12-07 13:05:00,AFLT,57.2,57.46,57.16,57.25,52600
2015-12-07 13:06:00,AFLT,57.25,57.25,57.25,57.25,4000
2015-12-07 13:07:00,AFLT,57.17,57.17,57.17,57.17,200
2015-12-07 13:08:00,AFLT,57.17,57.17,57.17,57.17,0
2015-12-07 13:09:00,AFLT,57.18,57.18,57.1,57.1,50200
2015-12-07 13:10:00,AFLT,57.1,57.1,57.1,57.1,0
2015-12-07 13:11:00,AFLT,57.1,57.1,57.03,57.03,44400
2015-12-07 13:12:00,AFLT,57.03,57.08,56.99,57.0,12100
2015-12-07 13:13:00,AFLT,57.0,57.0,56.89,56.91,7200
2015-12-07 13:14:00,AFLT,56.97,57.1,56.97,57.1,224700
2015-12-07 13:15:00,AFLT,57.1,57.72,57.1,57.13,36200
2015-12-07 13:16:00,AFLT,57.13,57.13,57.13,57.13,0
2015-12-07 13:17:00,AFLT,57.13,57.13,57.13,57.13,0
2015-12-07 13:18:00,AFLT,57.13,57.13,57.13,57.13,0
2015-12-07 13:19:00,AFLT,57.2,57.2,56.93,56.93,800
2015-12-07 13:20:00,AFLT,57.21,57.21,57.21,57.21,3600
2015-12-07 13:21:00,AFLT,57.22,57.22,57.21,57.21,3400
2015-12-07 13:22:00,AFLT,57.22,57.22,57.22,57.22,200
2015-12-07 13:23:00,AFLT,57.31,57.31,57.23,57.24,4200
2015-12-07 13:24:00,AFLT,57.24,57.24,57.24,57.24,0
2015-12-07 13:25:00,AFLT,57.24,57.24,57.22,57.22,300
2015-12-07 13:26:00,AFLT,57.21,57.24,57.21,57.23,14600
2015-12-07 13:27:00,AFLT,57.23,57.23,57.23,57.23,0
2015-12-07 13:28:00,AFLT,57.25,57.25,57.21,57.21,7500
2015-12-07 13:29:00,AFLT,57.23,57.23,57.23,57.23,200
2015-12-07 13:30:00,AFLT,57.22,57.22,57.2,57.2,7000
2015-12-07 13:31:00,AFLT,57.2,57.28,57.2,57.28,16600
2015-12-07 13:32:00,AFLT,57.27,57.89,57.27,57.39,91200
2015-12-07 13:33:00,AFLT,57.33,57.39,57.33,57.39,400
2015-12-07 13:34:00,AFLT,57.39,57.39,57.39,57.39,3200
2015-12-07 13:35:00,AFLT,57.33,57.33,57.32,57.32,500
2015-12-07 13:36:00,AFLT,57.33,57.33,57.33,57.33,100
2015-12-07 13:37:00,AFLT,57.39,57.9,57.39,57.46,38000
2015-12-07 13:38:00,AFLT,57.4,57.4,57.39,57.4,5400
2015-12-07 13:39:00,AFLT,57.46,57.46,57.46,57.46,3800
2015-12-07 13:40:00,AFLT,57.39,57.39,57.38,57.38,800
2015-12-07 13:41:00,AFLT,57.39,57.39,57.39,57.39,7400
2015-12-07 13:42:00,AFLT,57.43,57.56,57.36,57.41,117900
2015-12-07 13:43:00,AFLT,57.41,57.41,57.41,57.41,400
2015-12-07 13:44:00,AFLT,57.41,57.41,57.41,57.41,0
2015-12-07 13:45:00,AFLT,57.41,57.41,57.36,57.37,12200
2015-12-07 13:46:00,AFLT,57.35,57.35,57.35,57.35,2400
2015-12-07 13:47:00,AFLT,57.35,57.35,57.35,57.35,0
2015-12-07 13:48:00,AFLT,57.37,57.37,57.37,57.37,3800
2015-12-07 13:49:00,AFLT,57.33,57.33,57.33,57.33,200
2015-12-07 13:50:00,AFLT,57.37,57.38,57.32,57.32,9900
2015-12-07 13:51:00,AFLT,57.3,57.33,57.3,57.33,26000
